"序号","网址","发帖大类","发帖小类","发帖标题","发帖内容","发帖人","发帖日期","发帖类型","分词结果"
109,"http://bbs.cehome.com/thread-1150601-1-1.html","挖掘机专区","选购询价","微型挖机，哪个才是王？你懂你来讲！","室内的微型小挖机哪个品牌好？有人推荐卡特牌子不错，又有人说久保田的微挖机好！他们俩谁才是高手呢？欢迎懂挖机的大神留言评论，谢谢了~","铁爪_","2017-11-28 00:27:39","[机型对比]","微型 挖机 哪个 才是 懂你 来讲 室内 微型 小挖 哪个 品牌 有人 推荐 卡特 牌子 不错 又有 久保田 挖机 他们 才是 高手 欢迎 挖机 大神 留言 评论 谢谢"
110,"http://bbs.cehome.com/thread-1150599-1-1.html","铁甲娱乐","轻松一刻","签到","夜猫子","成吉思春","2017-11-28 00:25:41","","签到 夜猫子"
111,"http://bbs.cehome.com/thread-1150593-1-1.html","挖掘机专区","我爱我挖","挖掘机大佬们，请教一下","60挖掘机想换防冻液，直接把水箱下面的阀门开开，放完，就可以加防冻液吗，能加多少升的防冻液？","15384638879","2017-11-28 00:15:42","","挖掘机 大佬 请教 一下 挖掘机 换防 直接 水箱 下面 阀门 开开 放完 就可以 防冻液 加多少 防冻液"
112,"http://bbs.cehome.com/thread-1150591-1-1.html","我与工程机械","故障咨询","神钢350","神钢350-8，只有行走有先导压力，别的动作都没有，而且还整车没动作，行走也没动作。","手机用户ademux6","2017-11-28 00:12:11","","神钢 神钢 只有 行走 先导 压力 别的 动作 都没有 而且 整车 没动 行走 没动"
113,"http://bbs.cehome.com/thread-1150588-1-1.html","挖掘机专区","我爱我挖","速度与激情8","","曾经英雄","2017-11-28 00:09:23","","速度 激情"
114,"http://bbs.cehome.com/thread-1150583-1-1.html","我与工程机械","起重设备","利勃海尔LTC 1050-3.1 图片分享","000345hv7w2220c766101g.jpg(90.33 KB,下载次数: 0)2017-11-28 00:03 上传下载次数: 0利勃海尔LTC 1050-3.1 图片分享","","2017-11-28 00:04:27","[汽车吊]","海尔 图片 分享 下载 次数 上传下载 次数 海尔 图片 分享"
115,"http://bbs.cehome.com/thread-1150581-1-1.html","铁甲娱乐","轻松一刻","签到","","18611748689","2017-11-28 00:03:20","","签到"
116,"http://bbs.cehome.com/thread-1150580-1-1.html","挖掘机专区","杂谈图库","【一起来  就现在】铁齿钢牙！锅炉胃！","","铁甲小隆","2017-11-28 00:02:32","","一起 现在 锅炉"
117,"http://bbs.cehome.com/thread-1150567-1-1.html","挖掘机专区","我爱我挖","挖掘机回油滤清多久换一次","挖掘机回油滤清多久换一次","15072066277","2017-11-27 23:46:03","","挖掘机 滤清 多久 一次 挖掘机 滤清 多久 一次"
118,"http://bbs.cehome.com/thread-1150561-1-1.html","挖掘机专区","我爱我挖","【维修往事】卡特312D挖机7000小时换链筋与使用2000小时报告！","甲友们！晚上好啊！铁甲每月话动这么多，我们当然要积极参与啦。上面的标题是不是有点矛盾？下面来简单介绍一下。设备型号：卡特彼勒312D挖掘机。故障：脱轨、销套破损及链筋断裂。维修地点：采石场现场维修。维修时间与费用：维修时间3人工作大约4小时，维修费用4740元（链筋3800元、驱动齿400元、螺丝180棵每棵3元）人工费用0元。个人觉得螺丝完全可以直接用风炮打下来，一棵也不用割（当时全部割掉的），换了链筋还可以用旧螺丝。这样费用又可节省好几百元，","铁甲小隆","2017-11-27 23:37:36","[使用报告]","维修 往事 卡特 挖机 小时 使用 小时 报告 晚上好 铁甲 每月 这么多 我们 当然 积极参与 上面 标题 是不是 有点 矛盾 下面 简单 介绍 一下 设备 型号 卡特 挖掘机 故障 脱轨 破损 断裂 维修 地点 采石场 现场 维修 维修 时间 费用 维修 时间 人工 大约 小时 维修费 驱动 螺丝 每棵 人工费 个人 觉得 螺丝 完全可以 直接 打下来 一棵 不用 当时 全部 割掉 换了 还可 用旧 螺丝 这样 费用 又可 节省 好几 百元"
119,"http://bbs.cehome.com/thread-1150551-1-1.html","我与工程机械","故障咨询","求大师指点","加腾307-1收散小臂偏慢但有力，其它动作都快啥回事？","微信用户-1185","2017-11-27 23:24:04","[其他]","大师 指点 小臂 但有 其它 动作 回事"
120,"http://bbs.cehome.com/thread-1150548-1-1.html","挖掘机专区","我爱我挖","求救 求救","有没有 修发动机的师傅 小弟遇到难题了 有没有帮帮小弟 求个位老师傅留一下号码","该用户不可思议","2017-11-27 23:19:33","","求救 求救 有没有 发动机 师傅 小弟 遇到 难题 有没有 帮帮 小弟 个位 老师傅 一下 号码"
121,"http://bbs.cehome.com/thread-1150546-1-1.html","","","","","","","",""
122,"http://bbs.cehome.com/thread-1150542-1-1.html","挖掘机专区","我爱我挖","60履带挖机包月还是计时","我们这边60挖掘机120/小时每月平均不会超过150小时.包月不计时有活就干月300小时的样子.师傅工资每月5000块建议去做包月还是小时","veryGood靓仔","2017-11-27 23:13:42","","履带 挖机 包月 还是 计时 我们 这边 挖掘机 小时 每月 平均 不会 超过 小时 包月 不计 时有 小时 样子 师傅 工资 每月 建议 去做 包月 还是 小时"
123,"http://bbs.cehome.com/thread-1150540-1-1.html","挖掘机专区","选购询价","三一245H挖掘机怎么样？","三一245挖掘机怎么样，有么有215的质量，分期3年得多少大洋，，求大神指点","Y飞天","2017-11-27 23:12:28","[21-30吨]","三一 挖掘机 怎么样 三一 挖掘机 怎么样 质量 分期 得多 大洋 大神 指点"
124,"http://bbs.cehome.com/thread-1150538-1-1.html","挖掘机专区","我爱我挖","各位师兄咨询一下","凯斯55得履带装现代60-7能装上不？","13795598593","2017-11-27 23:10:28","","各位 师兄 咨询 一下 履带 现代 装上"
125,"http://bbs.cehome.com/thread-1150537-1-1.html","挖掘机专区","我爱我挖","精品老现代最近的干活照片","性能好，滴油不漏特别省油，还是老车质量好封面23085879e5l52kwtk7ezv7.jpg(115.65 KB,下载次数: 0)2017-11-27 23:08 上传下载次数: 0精品老现代最近的干活照片230857cnu51exxdg5di8x1.jpg(75.87 KB,下载次数: 0)2017-11-27 23:08 上传下载次数: 0精品老现代最近的干活照片2308571zn1s5zs5h715gsh.jpg(91.01 KB,下载次数: 0)2017-11-27 23:08 上传下载次数: 0精品老现代最近的干活照片230856xwucr60zhwkv2hek.jpg(105.68 KB,下载次数: 0)2017-11-27 23:08 上传下载次数: 0精品老现代最近的干活照片230856evrc67vcn7aa6auv.jpg(198.46 KB,下载次数: 0)2017-11-27 23:08 上传下载次数: 0精品老现代最近的干活照片230856xpybmp6pogduop3y.jpg(103.06 KB,下载次数: 0)2017-11-27 23:08 上传下载次数: 0精品老现代最近的干活照片230856fgfxggagaibfghug.jpg(82.94 KB,下载次数: 0)2017-11-27 23:08 上传下载次数: 0精品老现代最近的干活照片230855eayizin9i2i39zni.jpg(167.82 KB,下载次数: 0)2017-11-27 23:08 上传下载次数: 0精品老现代最近的干活照片230855q1xiittzjgrgsbxx.jpg(169.1 KB,下载次数: 0)2017-11-27 23:08 上传下载次数: 0精品老现代最近的干活照片230855bb00uumj16c0u0o1.jpg(63.9 KB,下载次数: 0)2017-11-27 23:08 上传下载次数: 0精品老现代最近的干活照片","","2017-11-27 23:09:35","[使用报告]","精品 现代 最近 干活 照片 性能好 滴油 不漏 特别 省油 还是 质量 封面 下载 次数 上传下载 次数 精品 现代 最近 干活 照片 下载 次数 上传下载 次数 精品 现代 最近 干活 照片 下载 次数 上传下载 次数 精品 现代 最近 干活 照片 下载 次数 上传下载 次数 精品 现代 最近 干活 照片 下载 次数 上传下载 次数 精品 现代 最近 干活 照片 下载 次数 上传下载 次数 精品 现代 最近 干活 照片 下载 次数 上传下载 次数 精品 现代 最近 干活 照片 下载 次数 上传下载 次数 精品 现代 最近 干活 照片 下载 次数 上传下载 次数 精品 现代 最近 干活 照片 下载 次数 上传下载 次数 精品 现代 最近 干活 照片"
126,"http://bbs.cehome.com/thread-1150535-1-1.html","挖掘机专区","我爱我挖","昨天晚上喷油了","","一如既往开挖机","2017-11-27 23:09:20","","昨天晚上 油了"
127,"http://bbs.cehome.com/thread-1150532-1-1.html","铁甲娱乐","轻松一刻","写错了","","。未。来。","2017-11-27 23:04:19","","写错"
128,"http://bbs.cehome.com/thread-1150528-1-1.html","挖掘机专区","我爱我挖","大师在哪里","已经攒两次抽奖机会了，求大师指点个好日子。兄弟我也抽个物品，跪求跪求","米小米","2017-11-27 23:00:16","","大师 在哪 已经 两次 抽奖 机会 大师 指点 好日子 兄弟 物品 跪求 跪求"
129,"http://bbs.cehome.com/thread-1150527-1-1.html","铁甲娱乐","轻松一刻","中奖了","中大奖了","遂宁……俊男！！！","2017-11-27 23:00:01","","中奖 中大奖"
130,"http://bbs.cehome.com/thread-1150525-1-1.html","挖掘机专区","我爱我挖","斯太尔发动机排气管噗噗的响","请教各位老师，斯太尔发动机排气管噗噗的响，修车的说是气门响，这种情况还能不能干活，怎样修理。","好运来","2017-11-27 22:58:46","","斯太尔 发动机 排气管 噗噗 请教 各位 老师 斯太尔 发动机 排气管 噗噗 修车 说是 气门 这种 情况 还能 不能 干活 怎样 修理"
131,"http://bbs.cehome.com/thread-1150524-1-1.html","我与工程机械","故障咨询","三一SY55C-10挖掘机，新车80小时吐槽报告","新人一枚，初次发帖抱着满心欢喜全款提了一台三一55，回来第一天就感觉旋转做组合动作有撞击声，急停的时候更明显，开了这么多年，从来没有哪个车有这么大的声音。受不了给售后打电话，过来试车说是正常的刹车声，好吧，我无话可说，有哪个挖机刹车刹的感觉驾驶室要散架的，起码以前开的55-9没有这么烂，我忍了。三十个小时的时候感觉旋转又多了一种异响，仔细排查发现小臂有点摇晃，连接大臂处轴销左右间隙目测超过4了毫米，轴销外面的大螺丝也是松的用手都可以拧动。这几天都在忙，心想也不是什么大问题先用着再说，我开始还天真的以为把螺丝拧紧了间隙会不会就没这么大了，今天打电话售后过来拧螺丝，结果拧紧了他跟我说这螺丝跟间隙没关系，说厂家就是这样设计的没问题，我也认了，我让他给我一边塞个2毫米垫片，他说塞了垫片会加速磨损，建议就这样用。哥，这可是新车啊，想到那个框铛框铛的声音心里就烦，还有就是五十铃发动机启动冒黑烟，这不是旧车专利，新车也是一样一样的，不能说三一垃圾，市场保有量在这里，我不相信三一我也不会买，确实是有些失望了！","18108655887","2017-11-27 22:58:01","[其他问题]","三一 挖掘机 新车 小时 报告 新人 一枚 初次 发帖 抱着 满心欢喜 全款 提了 一台 三一 回来 第一天 感觉 旋转 组合 动作 撞击声 时候 明显 开了 这么多 从来没有 哪个 有这 声音 受不了 售后 打电话 过来 试车 说是 正常 刹车声 好吧 无话可说 哪个 挖机 刹车 感觉 驾驶室 散架 起码 以前 没有 这么 忍了 十个 小时 时候 感觉 旋转 又多 一种 仔细 排查 发现 小臂 有点 摇晃 连接 左右 间隙 目测 超过 毫米 外面 螺丝 也是 用手 都可以 拧动 这几 都在 心想 不是 什么 大问题 先用 再说 开始 天真 以为 螺丝 拧紧 间隙 会不会 这么 今天 打电话 售后 过来 螺丝 结果 拧紧 跟我 螺丝 间隙 没关系 厂家 就是 这样 设计 没问题 认了 给我 一边 毫米 垫片 垫片 会加 磨损 建议 就这样 这可 新车 想到 那个 声音 心里 还有 就是 五十铃 发动机 启动 黑烟 这不是 旧车 专利 新车 也是 一样 一样 不能说 三一 垃圾 市场 保有量 在这里 不相信 三一 不会 确实是 有些 失望"
132,"http://bbs.cehome.com/thread-1150522-1-1.html","铁甲娱乐","视频 模型 游戏","专业的","装逼13我们是专业的","飝爺敢爲天下","2017-11-27 22:57:02","","专业 我们 专业"
133,"http://bbs.cehome.com/thread-1150521-1-1.html","互通有无","招聘求职","找工作！","现在这个老板因机子油泵有问题一直在修，想换个老板！本人在成都郫县。工作经验五年以上，对于工资没什么要求！需要包吃住！要过年了活路一定要多一点！有需要的给我留言！","昨晚那个人","2017-11-27 22:56:52","[四川]","找工作 现在 这个 老板 机子 油泵 问题 一直在 换个 老板 本人 成都 郫县 工作经验 以上 对于 工资 没什么 要求 需要 包吃 过年 活路 一定 多一点 需要 给我 留言"
134,"http://bbs.cehome.com/thread-1150519-1-1.html","挖掘机专区","我爱我挖","dp翻山越岑","","铁甲平子","2017-11-27 22:54:48","","翻山"
135,"http://bbs.cehome.com/thread-1150517-1-1.html","挖掘机专区","我爱我挖","刚入手柳工922d","6500了看看怎样","13181430444","2017-11-27 22:52:51","[提车作业]","入手 看看 怎样"
136,"http://bbs.cehome.com/thread-1150514-1-1.html","挖掘机专区","我爱我挖","小松200-8正常油耗多少","小松200-8一小时正常油耗多少升","手机用户cfnt469","2017-11-27 22:49:15","","小松 正常 油耗 多少 小松 一小时 正常 油耗 多少"
137,"http://bbs.cehome.com/thread-1150513-1-1.html","挖掘机专区","我爱我挖","卡特320C下大臂明显太快","求解","15877222061","2017-11-27 22:49:14","","卡特 明显 太快 求解"
138,"http://bbs.cehome.com/thread-1150508-1-1.html","挖掘机专区","我爱我挖","各位大哥看看有没有遇到这种情况的小松七型","打火老是要打很久才能着机，其他的都很正常，","秋","2017-11-27 22:46:30","","各位 大哥 看看 有没有 遇到 这种 情况 小松 打火 老是 很久 才能 其他 都很 正常"
139,"http://bbs.cehome.com/thread-1150504-1-1.html","挖掘机专区","我爱我挖","铁甲由史以来最牛的文章！！！","王师傅终于看到你本人了。今天很高兴，感谢铁甲让我看到王师傅本人的相片。三年前您派徒弟帮我修的小松200-6机还在为我挣钱。今天看到你的专题报道很激动。今年你更忙了，也少见你的帖子。    在此祝你身体健康，阖家欢乐！","岚城挖机","2017-11-27 22:40:39","","铁甲 以来 文章 王师傅 终于 看到 本人 今天 很高 感谢 铁甲 看到 王师傅 本人 相片 三年 徒弟 帮我 小松 还在 挣钱 今天 看到 专题报道 激动 今年 更忙 少见 帖子 在此 祝你 身体健康 阖家欢乐"
140,"http://bbs.cehome.com/thread-1150503-1-1.html","我与工程机械","故障咨询","神钢230-6e打不着火，大神指点","用钥匙打不着火，直搭可以启动，继电器换新的也不行，求指点","手机用户chpz689","2017-11-27 22:39:18","[其他]","神钢 打不着 大神 指点 钥匙 打不着 可以 启动 继电器 换新 不行 指点"
141,"http://bbs.cehome.com/thread-1150495-1-1.html","互通有无","招聘求职","福建南平招一名小挖机驾驶员","福建南平招一名小挖机驾驶员，工资月结 要求：有责任心 吃苦耐劳 电话微信同步13045999994","二爷工程机械","2017-11-27 22:25:59","[福建]","福建 南平 一名 小挖 驾驶员 福建 南平 一名 小挖 驾驶员 工资 月结 要求 责任心 吃苦耐劳 电话 同步"
